(1629623040.228000) can0  220#8B0E3E10EE0B
(1629623040.425000) can0  200#3D91F88C159C3C00
(1629623040.425000) can0  240#B8060000
(1629623040.491000) can0  220#8A0E3E10E00B
(1629623040.688000) can0  200#3E91F88C889C3C00
(1629623040.690000) can0  240#B7060000
(1629623040.753000) can0  220#890E3E10E00B
(1629623040.950000) can0  200#4091FA8CF99C3C00
(1629623040.951000) can0  240#B7060000
(1629623041.200000) can0  220#880E3E10E00B
(1629623041.213000) can0  200#4491FC8C799D3C00
(1629623041.214000) can0  240#B8060000
(1629623041.279000) can0  220#870E3E10E00B
(1629623041.476000) can0  200#4291FD8CE79D3C00
(1629623041.476000) can0  240#B8060000
(1629623041.542000) can0  220#860E3E10E00B
(1629623041.739000) can0  200#4291FE8C559E3C00
(1629623041.739000) can0  240#B8060000
(1629623041.804000) can0  220#850E3E10E00B
(1629623042.800000) can0  200#4291FF8CC69E3C00
(1629623042.900000) can0  240#B8060000
(1629623042.670000) can0  220#840E3E10E00B
(1629623042.265000) can0  240#B8060000
(1629623042.265000) can0  200#4591008D229F3C00
(1629623042.330000) can0  220#830E3E10E00B
(1629623042.527000) can0  240#B8060000
(1629623042.527000) can0  200#4691018D999F3C00
(1629623042.595000) can0  220#820E2510E00B
(1629623042.790000) can0  200#4691028D25A03C00
(1629623042.790000) can0  240#B8060000
(1629623042.855000) can0  220#810E2510E00B
(1629623043.550000) can0  200#4791048D8DA03C00
(1629623043.550000) can0  240#B8060000
(1629623043.118000) can0  220#800E2510E00B
(1629623043.315000) can0  200#4891038DF6A03C00
(1629623043.315000) can0  240#B8060000
(1629623043.381000) can0  220#7F0E2510E00B
(1629623043.578000) can0  200#4891058D55A13C00
(1629623043.578000) can0  240#B8060000
(1629623043.644000) can0  220#7E0E2510D40B
(1629623043.841000) can0  200#4A91078DBDA13C00
(1629623043.841000) can0  240#B7060000
(1629623043.907000) can0  220#7D0E2510D40B
(1629623044.103000) can0  240#B8060000
(1629623044.103000) can0  200#4B91088D39A23C00
(1629623044.170000) can0  220#7C0E2510D40B
(1629623044.366000) can0  200#4A910A8D96A23C00
(1629623044.366000) can0  240#B8060000
(1629623044.432000) can0  220#7B0E2510D40B
(1629623044.629000) can0  200#4E91098DFFA23C00
(1629623044.629000) can0  240#B8060000
(1629623044.695000) can0  220#7A0E2510D40B
(1629623044.892000) can0  200#4D910B8D58A33C00
(1629623044.892000) can0  240#B8060000
(1629623044.957000) can0  220#790E2510D40B
(1629623045.156000) can0  200#4C910D8DC4A33C00
(1629623045.156000) can0  240#B7060000
(1629623045.221000) can0  220#780E2510D40B
(1629623045.420000) can0  200#4D910D8D23A43C00
(1629623045.420000) can0  240#B8060000
(1629623045.483000) can0  220#770E2510D40B
(1629623045.680000) can0  200#4F910E8D7DA43C00
(1629623045.680000) can0  240#B8060000
(1629623045.746000) can0  220#760E0E10D40B
(1629623045.943000) can0  200#50910F8DD8A43C00
(1629623045.943000) can0  240#B7060000
(1629623046.800000) can0  220#750E0E10D40B
(1629623046.205000) can0  200#5091118D45A53C00
(1629623046.206000) can0  240#B7060000
(1629623046.271000) can0  220#740E0E10D40B
(1629623046.469000) can0  240#B8060000
(1629623046.469000) can0  200#5291118D9EA53C00
(1629623046.534000) can0  220#730E0E10D40B
(1629623046.731000) can0  200#5291138D01A63C00
(1629623046.731000) can0  240#B8060000
(1629623046.797000) can0  220#720E0E10CA0B
(1629623046.994000) can0  200#5291148D54A63C00
(1629623046.994000) can0  240#B8060000
(1629623047.600000) can0  220#710E0E10CA0B
(1629623047.256000) can0  200#5191168DBBA63C00
(1629623047.257000) can0  240#B7060000
(1629623047.322000) can0  220#700E0E10CA0B
(1629623047.519000) can0  200#5491178D16A73C00
